date,price,market_cap,volume,coin_id,symbol,name,market_cap_rank,daily_return,market_cap_change,volume_change,previous_day_price,previous_day_return,previous_day_volume,ma_7,ma_14,ma_30,volatility_7,volatility_14,volatility_30,volume_to_market_cap,price_vs_ma_7,price_vs_ma_14,price_vs_ma_30,next_day_price,next_day_return
2025-08-14,849.5528663342336,118308158987.36308,2344964710.7509003,binancecoin,bnb,BNB,4,0.018103289181989002,0.01709856354928352,0.23142158672301805,834.446637547768,0.03422700857482841,1904274487.3355463,810.756859699494,785.429609789283,776.0520650857105,0.011269083586833054,0.020539446316395284,0.021386338137089178,0.019820819889534196,1.0478515922136253,1.081640997163519,1.0947111728133927,842.2643191559952,-0.008579274424307531
2025-08-15,842.2643191559952,117299381415.7054,3658447977.417383,binancecoin,bnb,BNB,4,-0.008579274424307504,-0.008526694864429696,0.5601292252478638,849.5528663342336,0.018103289181989002,2344964710.7509003,818.6239297878568,789.6626046520479,781.1320948137404,0.013385100312213488,0.0202234760662184,0.021551160865996663,0.031188979287554434,1.0288782046406397,1.0666128979567486,1.078261058210432,827.2916811192079,-0.017776650032843483
2025-08-16,827.2916811192079,115243392455.31807,3425180338.790325,binancecoin,bnb,BNB,4,-0.017776650032843455,-0.017527705053285603,-0.06376136549349798,842.2643191559952,-0.008579274424307504,3658447977.417383,823.4973515498835,794.7221953402266,785.0898814852719,0.017018107894893865,0.01816661295501073,0.021657816659343763,0.029721273088331977,1.0046075795655969,1.040982227462564,1.0537540995358345,839.0566611983465,0.014221078668677476
2025-08-17,839.0566611983465,116636178954.74178,1194989933.08169,binancecoin,bnb,BNB,4,0.01422107866867739,0.012085608291718009,-0.6511161997666592,827.2916811192079,-0.017776650032843455,3425180338.790325,829.1912881915403,802.036329930209,788.9784992462885,0.017293495799350404,0.015592070332966737,0.021559806616973955,0.010245448228764257,1.011897584004196,1.0461579231346776,1.0634721503816615,856.9424560582937,0.02131655189341153
2025-08-18,856.9424560582937,119370446719.06827,1237130937.218746,binancecoin,bnb,BNB,4,0.02131655189341153,0.023442706961340543,0.03526473568558086,839.0566611983465,0.01422107866867739,1194989933.08169,836.6265485610171,809.5750657335293,793.2260840890189,0.018109048750393434,0.015663809307749937,0.021745452851753302,0.010363795824022214,1.0242831255262215,1.0585089540546142,1.080325613652065,848.2298792758197,-0.010167049982036748
2025-08-19,848.2298792758197,118191079529.68217,1704077250.468268,binancecoin,bnb,BNB,4,-0.010167049982036769,-0.009879892568063098,0.37744291990570256,856.9424560582937,0.02131655189341153,1237130937.218746,842.5406429556664,815.2661689622503,797.0695050180267,0.019460296765776475,0.015990303985532205,0.021935408225036184,0.014417985327228615,1.0067524770083438,1.0404330653822282,1.0641855872489263,823.4566682430556,-0.029205775035789118
2025-08-20,823.4566682430556,114695398769.23634,1577237801.835062,binancecoin,bnb,BNB,4,-0.02920577503578914,-0.029576519432398807,-0.07443292174597793,848.2298792758197,-0.010167049982036769,1704077250.468268,840.9706473407075,820.1710881164191,799.2467532107672,0.01961907795175354,0.017561655658562336,0.02208050456138943,0.013751535098704496,0.9791740899007187,1.0040059692108656,1.0302909144579333,870.0388548973078,0.05656908062162032
2025-08-21,870.0388548973078,121327396964.83464,2208912960.725439,binancecoin,bnb,BNB,4,0.05656908062162036,0.057822704892823706,0.4004945596380234,823.4566682430556,-0.02920577503578914,1577237801.835062,843.8972171354324,827.3270384174632,802.7015190722506,0.029164062446585304,0.0219228259859673,0.024124270003698465,0.018206217358851497,1.0309772768899652,1.051626278964054,1.0838883871839244,838.3671602294102,-0.036402620974480424
2025-08-22,838.3671602294102,116703457347.89297,1808794551.8255882,binancecoin,bnb,BNB,4,-0.03640262097448044,-0.0381112570830302,-0.1811381507619233,870.0388548973078,0.05656908062162036,2208912960.725439,843.3404801459202,830.9822049668884,804.4310670640405,0.032797111657099275,0.02461718628308517,0.024879359023734372,0.01549906569120375,0.9941028326831299,1.0088870197440822,1.0421864527052982,899.0447590707095,0.07237592515514983
2025-08-23,899.0447590707095,125228722775.30713,2403982643.652437,binancecoin,bnb,BNB,4,0.0723759251551499,0.07305066723088016,0.3290523466173285,838.3671602294102,-0.03640262097448044,1808794551.8255882,853.5909198532776,838.5441357015806,808.525136025522,0.041336684588384326,0.030557144395390257,0.027767894447821545,0.019196735304613837,1.0532501437869617,1.0721495992796015,1.111956473598528,880.2145462822662,-0.020944688902816148
2025-08-24,880.2145462822662,122601551471.5355,1414960204.0565426,binancecoin,bnb,BNB,4,-0.0209446889028162,-0.02097898345961291,-0.4114099751124848,899.0447590707095,0.0723759251551499,2403982643.652437,859.470617722409,844.3309529569746,812.157912161037,0.04321145978001921,0.03162132951054854,0.028103299639850608,0.01154112804506438,1.024135704155691,1.0424994407697856,1.0837972924996078,876.0729413672346,-0.004705222076281596
2025-08-25,876.0729413672346,122045654251.52823,1862920203.9639418,binancecoin,bnb,BNB,4,-0.0047052220762815455,-0.004534177694613728,0.31658840907549535,880.2145462822662,-0.0209446889028162,1414960204.0565426,862.2035441951148,849.415046378066,815.2008234947903,0.042958238236187135,0.03178619959394708,0.028048171035820486,0.015264125669928266,1.0160859895154655,1.0313838271441491,1.0746713154820966,840.2868104582814,-0.04084834631817758
2025-08-26,840.2868104582814,117052413550.03337,1739476008.2601202,binancecoin,bnb,BNB,4,-0.040848346318177575,-0.04091289224607797,-0.06626381282523841,876.0729413672346,-0.0047052220762815455,1862920203.9639418,861.0688200783235,851.8047315169949,816.7341597226023,0.04608767376151367,0.03422647766305326,0.02916756626982311,0.014860659045843522,0.975864868015832,0.98647821427547,1.0288375972221837,864.1213024474413,0.028364710349506612
2025-08-27,864.1213024474413,120359854645.80617,1565511904.048617,binancecoin,bnb,BNB,4,0.028364710349506606,0.028256069186980426,-0.10000948756143391,840.2868104582814,-0.040848346318177575,1739476008.2601202,866.878053536093,853.9243504384002,817.4232151760581,0.04523005351434073,0.0338547111894539,0.027392937874077233,0.013006927506315045,0.996819909008647,1.0119412826251013,1.0571284083989776,856.0552312979237,-0.009334419978621234
2025-08-28,856.0552312979237,119223186511.82414,1274918054.4266574,binancecoin,bnb,BNB,4,-0.009334419978621278,-0.00944391414668122,-0.1856222548486831,864.1213024474413,0.028364710349506606,1565511904.048617,864.8803930218953,854.3888050786637,818.5491696296051,0.039928362362814204,0.03370842454043628,0.027020255112539186,0.010693541178755657,0.9897960899620623,1.0019504307750222,1.045820169465556,874.7487534677291,0.02183681786683658
2025-08-29,874.7487534677291,121754972275.09772,1665085112.0571768,binancecoin,bnb,BNB,4,0.021836817866836666,0.02123568273376497,0.3060330475953461,856.0552312979237,-0.009334419978621278,1274918054.4266574,870.0777634845123,856.7091218152162,820.8693341012179,0.03747012678870066,0.0340179178803458,0.026916456509031874,0.01367570523768854,1.0053684741516784,1.021056892232325,1.065637023005013,863.6575485254209,-0.012679303512396909
2025-08-30,863.6575485254209,120215499930.77438,1531055975.6867678,binancecoin,bnb,BNB,4,-0.012679303512396878,-0.012644020326701644,-0.08049386508826506,874.7487534677291,0.021836817866836666,1665085112.0571768,865.0224476923282,859.3066837728028,823.1954703381468,0.023975807027483753,0.033802317212362626,0.02688861116585382,0.012735928200343718,0.9984221228355997,1.0050632269418824,1.049152454848486,861.923469050824,-0.002007832245034641
2025-08-31,861.923469050824,119967599893.59285,732100562.508858,binancecoin,bnb,BNB,4,-0.0020078322450346464,-0.0020621304018557662,-0.5218329217646871,863.6575485254209,-0.012679303512396878,1531055975.6867678,862.409436659265,860.940027190837,825.8261729372647,0.022987090521610038,0.03368813607777552,0.026720183212540098,0.006102485697456697,0.9994365001265252,1.001142288462526,1.043710525648721,857.819601972643,-0.004761289401598844
2025-09-01,857.819601972643,119395441256.787,721993472.2873288,binancecoin,bnb,BNB,4,-0.004761289401598812,-0.004769276348892015,-0.013805603682222056,861.923469050824,-0.0020078322450346464,732100562.508858,859.8018167457519,861.0026804704332,829.2049126201961,0.022987887921655698,0.03328266458582799,0.025826592718265488,0.006047077381577057,0.9976945678242326,0.9963030562273615,1.0345085863782786,845.916487927506,-0.013876010781013432
2025-09-02,845.916487927506,117730905063.68185,1648305723.808358,binancecoin,bnb,BNB,4,-0.013876010781013415,-0.013941371425774784,1.282992557517734,857.819601972643,-0.004761289401598812,721993472.2873288,860.6060563842127,860.837438231268,832.8468363198265,0.0170314271710007,0.033389362155557906,0.025417020581015387,0.01400062050756148,0.9829311351602333,0.9826669361239451,1.0156927432965124,851.6937445280856,0.006829582686978883
2025-09-03,851.6937445280856,118533105628.61053,1322521810.3871567,binancecoin,bnb,BNB,4,0.006829582686978863,0.006813848619398266,-0.19764774745093272,845.916487927506,-0.013876010781013415,1648305723.808358,858.8306909671618,862.8543722516273,836.1899559770355,0.012666629786030786,0.032310278193386034,0.025260755923656408,0.011157404535834059,0.991689926182029,0.9870654561390031,1.0185409887313641,855.1110256828161,0.004012335627314013
